"Date","Price","Open","High","Low","Vol.","Change %"
"11-03-2024","73,502.64","74,175.93","74,187.35","73,433.91","9.80M","-0.83%"
"07-03-2024","74,119.39","74,242.74","74,245.17","73,921.48","15.97M","0.05%"
"06-03-2024","74,085.99","73,587.70","74,151.27","73,321.48","13.29M","0.55%"
"05-03-2024","73,677.13","73,767.42","73,915.54","73,412.25","21.23M","-0.26%"
"04-03-2024","73,872.29","73,903.09","73,990.13","73,747.01","14.19M","0.09%"
"02-03-2024","73,806.15","73,848.19","73,994.70","73,778.14","2.96M","0.08%"
"01-03-2024","73,745.35","72,606.31","73,819.21","72,591.14","20.65M","1.72%"
"29-02-2024","72,500.30","72,220.57","72,730.00","72,099.32","18.55M","0.27%"
"28-02-2024","72,304.88","73,162.82","73,223.11","72,222.29","6.17M","-1.08%"
"27-02-2024","73,095.22","72,723.53","73,161.30","72,660.13","8.26M","0.42%"
"26-02-2024","72,790.13","73,044.81","73,092.26","72,666.82","7.87M","-0.48%"
"23-02-2024","73,142.80","73,394.44","73,413.93","73,022.00","11.95M","-0.02%"
"22-02-2024","73,158.24","72,677.51","73,256.39","72,081.36","9.13M","0.74%"
"21-02-2024","72,623.09","73,267.48","73,267.80","72,450.56","13.91M","-0.59%"
"20-02-2024","73,057.40","72,727.87","73,130.69","72,510.24","7.73M","0.48%"
"19-02-2024","72,708.16","72,627.60","72,881.93","72,308.68","8.41M","0.39%"
"16-02-2024","72,426.64","72,406.02","72,545.33","72,218.10","15.15M","0.52%"
"15-02-2024","72,050.38","72,061.47","72,164.97","71,644.44","8.19M","0.32%"
"14-02-2024","71,822.83","71,035.25","71,938.59","70,809.84","10.69M","0.37%"
"13-02-2024","71,555.19","71,292.08","71,662.74","70,924.30","8.07M","0.68%"
"12-02-2024","71,072.49","71,722.31","71,756.58","70,922.57","10.69M","-0.73%"
"09-02-2024","71,595.49","71,410.29","71,676.49","71,200.31","18.98M","0.23%"
"08-02-2024","71,428.43","72,473.42","72,473.42","71,230.62","14.48M","-1.00%"
"07-02-2024","72,152.00","72,548.50","72,559.21","71,938.22","12.78M","-0.05%"
"06-02-2024","72,186.09","71,970.82","72,261.40","71,625.18","10.47M","0.63%"
"05-02-2024","71,731.42","72,269.12","72,385.93","71,602.14","19.88M","-0.49%"
"02-02-2024","72,085.63","71,977.56","73,089.40","71,948.77","19.37M","0.61%"
"01-02-2024","71,645.30","71,998.78","72,151.02","71,574.89","11.49M","-0.15%"
"31-01-2024","71,752.11","71,073.04","71,851.39","70,846.04","11.01M","0.86%"
"30-01-2024","71,139.90","72,000.20","72,142.23","71,075.72","12.91M","-1.11%"
"29-01-2024","71,941.57","70,968.10","72,010.22","70,880.54","13.94M","1.76%"
"25-01-2024","70,700.67","71,022.10","71,049.46","70,319.04","36.66M","-0.51%"
"24-01-2024","71,060.31","70,165.49","71,149.61","70,001.60","15.56M","0.98%"
"23-01-2024","70,370.55","71,868.20","72,039.20","70,234.55","11.38M","-1.47%"
"20-01-2024","71,423.65","72,008.30","72,026.26","71,312.71","8.61M","-0.36%"
"19-01-2024","71,683.23","71,786.74","71,895.64","71,542.74","25.52M","0.70%"
"18-01-2024","71,186.86","71,018.86","71,451.29","70,665.50","13.00M","-0.44%"
"17-01-2024","71,500.76","71,998.93","72,484.80","71,429.30","14.14M","-2.23%"
"16-01-2024","73,128.77","73,331.95","73,427.59","72,960.29","11.16M","-0.27%"
"15-01-2024","73,327.94","73,049.87","73,402.16","72,909.00","16.01M","1.05%"
"12-01-2024","72,568.45","72,148.07","72,720.96","71,982.29","20.44M","1.18%"
"11-01-2024","71,721.18","71,907.75","71,999.47","71,543.19","7.79M","0.09%"
"10-01-2024","71,657.71","71,383.20","71,733.84","71,110.98","9.37M","0.38%"
"09-01-2024","71,386.21","71,770.91","72,035.47","71,307.27","9.52M","0.04%"
"08-01-2024","71,355.22","72,113.25","72,181.77","71,301.04","10.90M","-0.93%"
"05-01-2024","72,026.15","72,016.71","72,156.48","71,779.83","14.86M","0.25%"
"04-01-2024","71,847.57","71,678.93","71,954.79","71,546.60","8.87M","0.69%"
"03-01-2024","71,356.60","71,832.62","71,862.00","71,303.97","13.55M","-0.75%"
"02-01-2024","71,892.48","72,332.85","72,332.85","71,613.74","279.14K","-0.53%"
"01-01-2024","72,271.94","72,218.39","72,561.91","72,031.23","9.73M","0.04%"
"29-12-2023","72,240.26","72,351.59","72,417.01","72,082.64","19.83M","-0.23%"
"28-12-2023","72,410.38","72,262.67","72,484.34","72,137.45","7.76M","0.52%"
"27-12-2023","72,038.43","71,492.02","72,119.85","71,473.65","9.81M","0.98%"
"26-12-2023","71,336.80","71,097.78","71,471.29","71,012.08","7.74M","0.32%"
"22-12-2023","71,106.96","71,045.65","71,259.55","70,713.56","15.30M","0.34%"
"21-12-2023","70,865.10","69,920.89","70,958.71","69,920.39","8.77M","0.51%"
"20-12-2023","70,506.31","71,647.66","71,913.07","70,302.60","13.18M","-1.30%"
"19-12-2023","71,437.19","71,479.28","71,623.71","71,071.98","8.58M","0.17%"
"18-12-2023","71,315.09","71,437.35","71,552.24","71,142.29","12.46M","-0.24%"
"15-12-2023","71,483.75","70,804.13","71,605.76","70,655.97","25.05M","1.37%"
"14-12-2023","70,514.20","70,146.09","70,602.89","70,110.75","12.25M","1.34%"
"13-12-2023","69,584.60","69,648.56","69,657.93","69,100.56","7.05M","0.05%"
"12-12-2023","69,551.03","70,020.68","70,033.64","69,443.85","7.00M","-0.54%"
"11-12-2023","69,928.53","69,925.63","70,057.83","69,782.48","12.45M","0.15%"
"08-12-2023","69,825.60","69,666.38","69,893.80","69,506.12","18.17M","0.44%"
"07-12-2023","69,521.69","69,694.15","69,695.33","69,320.53","26.03M","-0.19%"
"06-12-2023","69,653.73","69,534.93","69,744.62","69,395.01","10.36M","0.52%"
"05-12-2023","69,296.14","69,168.53","69,381.31","68,954.88","9.62M","0.63%"
"04-12-2023","68,865.12","68,435.34","68,918.22","68,274.47","30.87M","2.05%"
"01-12-2023","67,481.19","67,181.15","67,564.33","67,149.07","21.68M","0.74%"
"30-11-2023","66,988.44","66,963.20","67,069.89","66,610.35","11.07M","0.13%"
"29-11-2023","66,901.91","66,381.26","66,946.28","66,374.52","8.33M","1.10%"
"28-11-2023","66,174.20","66,063.72","66,256.20","65,906.65","5.08M","0.31%"
"24-11-2023","65,970.04","66,000.29","66,101.64","65,894.05","10.84M","-0.07%"
"23-11-2023","66,017.81","66,084.37","66,235.24","65,980.50","7.52M","-0.01%"
"22-11-2023","66,023.24","65,839.62","66,063.43","65,664.85","4.28M","0.14%"
"21-11-2023","65,930.77","65,860.46","66,082.36","65,849.17","5.41M","0.42%"
"20-11-2023","65,655.15","65,787.51","65,844.01","65,547.80","7.15M","-0.21%"
"17-11-2023","65,794.73","65,788.79","66,037.69","65,639.74","10.89M","-0.28%"
"16-11-2023","65,982.48","65,665.87","66,358.37","65,507.02","11.56M","0.47%"
"15-11-2023","65,675.93","65,461.54","65,747.65","65,373.50","7.53M","1.14%"
"13-11-2023","64,933.87","65,158.31","65,176.96","64,853.36","7.70M","-0.50%"
"12-11-2023","65,259.45","65,418.98","65,418.98","65,218.60","1.67M","0.55%"
"10-11-2023","64,904.68","64,756.11","65,014.06","64,580.95","11.14M","0.11%"
"09-11-2023","64,832.20","65,025.32","65,046.56","64,768.76","11.57M","-0.22%"
"08-11-2023","64,975.61","65,101.95","65,124.00","64,851.06","6.37M","0.05%"
"07-11-2023","64,942.40","65,021.29","65,021.29","64,638.10","7.70M","-0.03%"
"06-11-2023","64,958.69","64,835.23","64,992.54","64,617.48","8.13M","0.92%"
"03-11-2023","64,363.78","64,444.90","64,535.19","64,275.39","16.08M","0.44%"
"02-11-2023","64,080.90","64,033.40","64,202.64","63,815.35","6.38M","0.77%"
"01-11-2023","63,591.33","63,829.87","63,896.05","63,550.46","6.15M","-0.44%"
"31-10-2023","63,874.93","64,449.65","64,452.32","63,812.53","14.99M","-0.37%"
"30-10-2023","64,112.65","63,885.56","64,184.58","63,431.45","5.60M","0.52%"
"27-10-2023","63,782.80","63,559.32","63,913.13","63,393.37","12.61M","1.01%"
"26-10-2023","63,148.15","63,774.16","63,774.16","63,092.98","12.87M","-1.41%"
"25-10-2023","64,049.06","64,619.27","64,787.08","63,912.16","7.08M","-0.81%"
"23-10-2023","64,571.88","65,419.02","65,453.92","64,502.68","6.80M","-1.26%"
"20-10-2023","65,397.62","65,437.07","65,555.14","65,308.61","14.32M","-0.35%"
"19-10-2023","65,629.24","65,484.61","65,869.65","65,343.50","10.96M","-0.38%"
"18-10-2023","65,877.02","66,473.74","66,475.27","65,842.10","7.08M","-0.83%"
"17-10-2023","66,428.09","66,558.15","66,559.82","66,309.18","7.93M","0.39%"
"16-10-2023","66,166.93","66,238.15","66,342.75","66,039.38","6.56M","-0.17%"
"13-10-2023","66,282.74","66,034.21","66,478.90","65,895.41","13.40M","-0.19%"
"12-10-2023","66,408.39","66,564.57","66,577.60","66,339.42","7.13M","-0.10%"
"11-10-2023","66,473.05","66,376.42","66,592.16","66,299.79","16.76M","0.60%"
"10-10-2023","66,079.36","65,662.27","66,180.17","65,662.27","5.15M","0.87%"
"09-10-2023","65,512.39","65,560.07","65,789.98","65,434.61","7.27M","-0.73%"
"06-10-2023","65,995.63","65,867.54","66,095.81","65,762.33","10.18M","0.55%"
"05-10-2023","65,631.57","65,598.26","65,753.20","65,443.34","8.03M","0.62%"
"04-10-2023","65,226.04","65,330.65","65,332.52","64,878.77","8.64M","-0.44%"
"03-10-2023","65,512.10","65,813.42","65,813.50","65,344.59","8.65M","-0.48%"
"29-09-2023","65,828.41","65,743.93","66,151.65","65,570.38","8.43M","0.49%"
"28-09-2023","65,508.32","66,406.01","66,406.01","65,423.39","7.82M","-0.92%"
"27-09-2023","66,118.69","65,925.64","66,172.27","65,549.96","5.39M","0.26%"
"26-09-2023","65,945.47","66,071.63","66,078.26","65,865.63","6.50M","-0.12%"
"25-09-2023","66,023.69","66,082.99","66,225.63","65,764.03","6.80M","0.02%"
"22-09-2023","66,009.15","66,215.04","66,445.47","65,952.83","8.29M","-0.33%"
"21-09-2023","66,230.24","66,608.67","66,608.67","66,128.71","8.40M","-0.85%"
"20-09-2023","66,800.84","67,080.18","67,294.16","66,728.14","13.36M","-1.18%"
"18-09-2023","67,596.84","67,665.58","67,803.15","67,532.83","10.33M","-0.36%"
"15-09-2023","67,838.63","67,659.91","67,927.23","67,614.42","6.79M","0.47%"
"14-09-2023","67,519.00","67,627.03","67,771.05","67,336.46","8.09M","0.08%"
"13-09-2023","67,466.99","67,188.64","67,565.41","67,053.36","6.18M","0.37%"
"12-09-2023","67,221.13","67,506.88","67,539.10","66,948.18","8.75M","0.14%"
"11-09-2023","67,127.08","66,807.73","67,172.13","66,735.84","9.25M","0.79%"
"08-09-2023","66,598.91","66,381.43","66,766.92","66,299.30","11.46M","0.50%"
"07-09-2023","66,265.56","65,854.25","66,296.90","65,672.34","6.19M","0.58%"
"06-09-2023","65,880.52","65,744.19","65,971.13","65,488.03","6.14M","0.15%"
"05-09-2023","65,780.26","65,671.60","65,831.70","65,601.47","6.57M","0.23%"
"04-09-2023","65,628.14","65,525.91","65,683.91","65,285.56","13.75M","0.37%"
"01-09-2023","65,387.16","64,855.51","65,473.27","64,818.37","21.62M","0.86%"
"31-08-2023","64,831.41","65,178.33","65,277.04","64,723.63","48.56M","-0.39%"
"30-08-2023","65,087.25","65,311.58","65,458.70","65,052.74","17.71M","0.02%"
"29-08-2023","65,075.82","65,201.35","65,229.03","64,956.67","48.52M","0.12%"
"28-08-2023","64,996.60","64,908.08","65,213.45","64,776.92","20.80M","0.17%"
"25-08-2023","64,886.51","65,000.67","65,106.00","64,732.57","51.69M","-0.56%"
"24-08-2023","65,252.34","65,722.51","65,913.77","65,181.94","5.93M","-0.28%"
"23-08-2023","65,433.30","65,300.93","65,504.71","65,108.51","7.07M","0.33%"
"22-08-2023","65,220.03","65,272.42","65,362.91","65,165.45","5.43M","0.01%"
"21-08-2023","65,216.09","64,852.70","65,335.82","64,852.70","9.32M","0.41%"
"18-08-2023","64,948.66","65,025.71","65,175.32","64,754.72","14.26M","-0.31%"
"17-08-2023","65,151.02","65,503.85","65,535.14","65,046.10","6.37M","-0.59%"
"16-08-2023","65,539.42","65,238.67","65,605.74","65,032.89","4.16B","0.21%"
"14-08-2023","65,401.92","65,153.02","65,517.82","64,821.88","7.62M","0.12%"
"11-08-2023","65,322.65","65,727.80","65,727.80","65,274.61","7.60M","-0.56%"
"10-08-2023","65,688.18","65,945.39","65,956.25","65,509.14","6.04M","-0.47%"
"09-08-2023","65,995.81","65,810.96","66,066.01","65,444.38","6.63M","0.23%"
"08-08-2023","65,846.50","66,048.81","66,057.53","65,752.63","6.27M","-0.16%"
"07-08-2023","65,953.48","65,811.40","66,067.90","65,748.25","7.12M","0.35%"
"04-08-2023","65,721.25","65,453.55","65,799.27","65,387.18","12.46M","0.74%"
"03-08-2023","65,240.68","65,550.82","65,820.82","64,963.08","9.29M","-0.82%"
"02-08-2023","65,782.78","66,064.41","66,261.97","65,431.68","7.51M","-1.02%"
"01-08-2023","66,459.31","66,532.98","66,658.12","66,388.26","10.51M","-0.10%"
"31-07-2023","66,527.67","66,156.39","66,598.42","65,998.90","7.93M","0.56%"
"28-07-2023","66,160.20","66,266.35","66,351.22","65,878.65","12.29M","-0.16%"
"27-07-2023","66,266.82","66,834.12","66,984.17","66,060.74","8.38M","-0.66%"
"26-07-2023","66,707.20","66,434.72","66,897.27","66,431.34","10.46M","0.53%"
"25-07-2023","66,355.71","66,531.20","66,559.29","66,177.62","11.12M","-0.04%"
"24-07-2023","66,384.78","66,629.14","66,808.56","66,326.25","8.64M","-0.45%"
"21-07-2023","66,684.26","66,907.07","67,190.52","66,533.74","13.25M","-1.31%"
"20-07-2023","67,571.90","67,074.34","67,619.17","66,831.38","8.30M","0.71%"
"19-07-2023","67,097.44","66,905.01","67,171.38","66,703.61","8.48M","0.45%"
"18-07-2023","66,795.14","66,828.96","67,007.02","66,574.47","8.17M","0.31%"
"17-07-2023","66,589.93","66,148.18","66,656.21","66,015.63","9.18M","0.80%"
"14-07-2023","66,060.90","65,775.49","66,159.79","65,610.82","10.76M","0.77%"
"13-07-2023","65,558.89","65,667.07","66,064.21","65,452.15","9.53M","0.25%"
"12-07-2023","65,393.90","65,759.28","65,811.64","65,320.25","7.37M","-0.34%"
"11-07-2023","65,617.84","65,598.65","65,870.59","65,517.57","9.85M","0.42%"
"10-07-2023","65,344.17","65,482.33","65,633.49","65,246.40","14.44M","0.10%"
"07-07-2023","65,280.45","65,559.41","65,898.98","65,175.74","14.28M","-0.77%"
"06-07-2023","65,785.64","65,391.88","65,832.98","65,328.29","8.60M","0.52%"
"05-07-2023","65,446.04","65,493.68","65,584.33","65,256.49","7.42M","-0.05%"
"04-07-2023","65,479.05","65,503.85","65,672.97","65,171.06","6.57M","0.42%"
"03-07-2023","65,205.05","64,836.16","65,300.35","64,836.16","8.79M","0.75%"
"30-06-2023","64,718.56","64,068.44","64,768.58","64,068.44","29.73M","1.26%"
"28-06-2023","63,915.42","63,701.78","64,050.44","63,554.82","6.28M","0.79%"
"27-06-2023","63,416.03","63,151.85","63,467.54","63,054.84","4.77M","0.71%"
"26-06-2023","62,970.00","62,946.50","63,136.09","62,853.67","4.41M","-0.01%"
"23-06-2023","62,979.37","63,124.28","63,240.63","62,874.12","7.29M","-0.41%"
"22-06-2023","63,238.89","63,601.71","63,601.71","63,200.63","7.32M","-0.45%"
"21-06-2023","63,523.15","63,467.46","63,588.31","63,315.62","10.60M","0.31%"
"20-06-2023","63,327.70","63,176.77","63,440.19","62,801.91","5.01M","0.25%"
"19-06-2023","63,168.30","63,474.21","63,574.69","63,047.83","1.35M","-0.34%"
"16-06-2023","63,384.58","62,960.73","63,520.36","62,957.17","5.49M","0.74%"
"15-06-2023","62,917.63","63,153.78","63,310.96","62,871.08","6.70M","-0.49%"
"14-06-2023","63,228.51","63,115.48","63,274.03","63,013.51","11.94M","0.14%"
"13-06-2023","63,143.16","62,779.14","63,177.47","62,777.04","5.54M","0.67%"
"12-06-2023","62,724.71","62,659.98","62,804.89","62,615.20","4.94M","0.16%"
"09-06-2023","62,625.63","62,810.68","62,992.16","62,594.74","41.41M","-0.35%"
"08-06-2023","62,848.64","63,140.17","63,321.40","62,789.73","11.02M","-0.47%"
"07-06-2023","63,142.96","62,917.39","63,196.43","62,841.95","6.89M","0.56%"
"06-06-2023","62,792.88","62,738.35","62,867.95","62,554.21","8.09M","0.01%"
"05-06-2023","62,787.47","62,759.19","62,943.20","62,751.72","6.06M","0.38%"
"02-06-2023","62,547.11","62,601.97","62,719.84","62,379.86","6.33M","0.19%"
"01-06-2023","62,428.54","62,736.47","62,762.41","62,359.14","8.04M","-0.31%"
"31-05-2023","62,622.24","62,839.97","62,876.77","62,401.02","7.29M","-0.55%"
"30-05-2023","62,969.13","62,839.85","63,036.12","62,737.40","7.81M","0.20%"
"29-05-2023","62,846.38","62,801.54","63,026.00","62,801.54","9.63M","0.55%"
"26-05-2023","62,501.69","61,985.36","62,529.83","61,911.61","9.17M","1.02%"
"25-05-2023","61,872.62","61,706.13","61,934.01","61,484.66","8.44M","0.16%"
"24-05-2023","61,773.78","61,834.28","62,154.14","61,708.10","5.89M","-0.34%"
"23-05-2023","61,981.79","62,098.16","62,245.19","61,914.40","8.42M","0.03%"
"22-05-2023","61,963.68","61,579.78","62,044.46","61,579.78","5.57M","0.38%"
"19-05-2023","61,729.68","61,556.25","61,784.61","61,251.70","6.08M","0.48%"
"18-05-2023","61,431.74","61,937.86","61,955.90","61,349.34","8.18M","-0.21%"
"17-05-2023","61,560.64","61,932.32","61,979.94","61,340.10","6.73M","-0.60%"
"16-05-2023","61,932.47","62,474.11","62,475.95","61,847.41","5.88M","-0.66%"
"15-05-2023","62,345.71","62,157.10","62,562.67","61,950.30","6.86M","0.51%"
"12-05-2023","62,027.90","61,857.69","62,110.93","61,578.15","7.04M","0.20%"
"11-05-2023","61,904.52","62,158.10","62,168.22","61,823.07","6.11M","-0.06%"
"10-05-2023","61,940.20","61,843.36","61,974.35","61,572.93","4.76M","0.29%"
"09-05-2023","61,761.33","61,879.68","62,027.51","61,654.94","6.92M","0.00%"
"08-05-2023","61,764.25","61,166.09","61,854.19","61,166.09","7.87M","1.16%"
