"Date","Price","Open","High","Low","Vol.","Change %"
"22-01-2021","48,878.54","49,594.95","49,676.88","48,832.08","18.42M","-1.50%"
"21-01-2021","49,624.76","50,096.57","50,184.01","49,398.86","19.33M","-0.34%"
"20-01-2021","49,792.12","49,508.79","49,874.42","49,373.68","12.16M","0.80%"
"19-01-2021","49,398.29","48,900.31","49,499.86","48,805.54","11.02M","1.72%"
"18-01-2021","48,564.27","49,061.22","49,122.23","48,403.97","16.61M","-0.96%"
"15-01-2021","49,034.67","49,656.71","49,656.71","48,795.79","14.69M","-1.11%"
"14-01-2021","49,584.16","49,432.83","49,663.58","49,182.37","24.47M","0.19%"
"13-01-2021","49,492.32","49,763.93","49,795.19","49,073.85","27.17M","-0.05%"
"12-01-2021","49,517.11","49,228.26","49,569.14","49,079.57","12.68M","0.50%"
"11-01-2021","49,269.32","49,252.31","49,303.79","48,956.38","21.18M","1.00%"
"08-01-2021","48,782.51","48,464.91","48,854.34","48,365.58","22.19M","1.43%"
"07-01-2021","48,093.32","48,524.36","48,558.34","48,037.87","18.43M","-0.17%"
"06-01-2021","48,174.06","48,616.66","48,616.66","47,864.14","22.50M","-0.54%"
"05-01-2021","48,437.78","48,037.63","48,486.24","47,903.38","12.18M","0.54%"
"04-01-2021","48,176.80","48,109.17","48,220.47","47,594.47","13.87M","0.64%"
"01-01-2021","47,868.98","47,785.28","47,980.36","47,771.15","8.27M","0.25%"
"31-12-2020","47,751.33","47,753.11","47,896.97","47,602.12","13.93M","0.01%"
"30-12-2020","47,746.22","47,789.03","47,807.85","47,358.36","15.63M","0.28%"
"29-12-2020","47,613.08","47,466.62","47,714.55","47,361.90","12.76M","0.55%"
"28-12-2020","47,353.75","47,153.59","47,406.72","47,148.24","9.59M","0.81%"
"24-12-2020","46,973.54","46,743.49","47,053.40","46,539.02","13.71M","1.14%"
"23-12-2020","46,444.18","46,072.30","46,513.32","45,899.10","10.47M","0.95%"
"22-12-2020","46,006.69","45,529.61","46,080.18","45,112.19","25.08M","0.99%"
"21-12-2020","45,553.96","46,932.18","47,055.69","44,923.08","24.39M","-3.00%"
"18-12-2020","46,960.69","47,026.02","47,026.02","46,630.31","12.80M","0.15%"
"17-12-2020","46,890.34","46,774.32","46,992.57","46,627.60","17.22M","0.48%"
"16-12-2020","46,666.46","46,573.31","46,704.97","46,402.20","13.14M","0.87%"
"15-12-2020","46,263.17","46,287.39","46,350.30","45,841.67","16.39M","0.02%"
"14-12-2020","46,253.46","46,284.70","46,373.34","45,951.53","18.42M","0.34%"
"11-12-2020","46,099.01","46,060.32","46,309.63","45,706.22","26.25M","0.30%"
"10-12-2020","45,959.88","45,999.42","46,043.97","45,685.87","12.73M","-0.31%"
"09-12-2020","46,103.50","45,891.04","46,164.10","45,792.01","20.68M","1.09%"
"08-12-2020","45,608.51","45,568.80","45,742.23","45,335.17","18.21M","0.40%"
"07-12-2020","45,426.97","45,099.92","45,458.92","45,024.47","18.69M","0.77%"
"04-12-2020","45,079.55","44,665.91","45,148.28","44,665.91","27.64M","1.00%"
"03-12-2020","44,632.65","44,902.02","44,953.01","44,551.42","30.67M","0.03%"
"02-12-2020","44,618.04","44,729.52","44,729.64","44,169.97","16.02M","-0.08%"
"01-12-2020","44,655.44","44,435.83","44,730.79","44,118.10","16.03M","1.15%"
"27-11-2020","44,149.72","44,325.03","44,407.28","43,995.41","15.75M","-0.25%"
"26-11-2020","44,259.74","43,967.59","44,361.78","43,582.40","14.61M","0.98%"
"25-11-2020","43,828.10","44,749.73","44,825.37","43,757.97","19.15M","-1.56%"
"24-11-2020","44,523.02","44,341.19","44,601.63","44,247.12","17.94M","1.01%"
"23-11-2020","44,077.15","44,164.17","44,271.15","43,747.22","17.80M","0.44%"
"20-11-2020","43,882.25","43,732.14","44,013.02","43,453.75","17.12M","0.65%"
"19-11-2020","43,599.96","43,902.24","44,230.00","43,518.11","24.14M","-1.31%"
"18-11-2020","44,180.05","43,978.58","44,215.49","43,785.78","18.26M","0.52%"
"17-11-2020","43,952.71","44,095.85","44,161.16","43,699.22","20.90M","0.72%"
"14-11-2020","43,637.98","43,815.45","43,830.93","43,535.77","3.30M","0.45%"
"13-11-2020","43,443.00","43,298.92","43,522.25","43,053.37","24.38M","0.20%"
"12-11-2020","43,357.19","43,291.89","43,543.96","43,127.55","14.47M","-0.54%"
"11-11-2020","43,593.67","43,444.06","43,708.47","42,970.21","30.34M","0.73%"
"10-11-2020","43,277.65","42,959.25","43,316.44","42,660.09","28.70M","1.60%"
"09-11-2020","42,597.43","42,273.97","42,645.33","42,263.64","24.30M","1.68%"
"06-11-2020","41,893.06","41,438.76","41,954.93","41,383.29","18.96M","1.34%"
"05-11-2020","41,340.16","41,112.12","41,370.91","41,030.17","42.63M","1.78%"
"04-11-2020","40,616.14","40,171.71","40,693.51","40,076.47","20.88M","0.88%"
"03-11-2020","40,261.13","39,990.75","40,354.73","39,952.79","21.35M","1.27%"
"02-11-2020","39,757.58","39,880.38","39,968.03","39,334.92","15.35M","0.36%"
"30-10-2020","39,614.07","39,779.82","39,988.25","39,241.87","12.05M","-0.34%"
"29-10-2020","39,749.85","39,537.17","40,010.83","39,524.25","19.51M","-0.43%"
"28-10-2020","39,922.46","40,664.35","40,664.35","39,774.60","29.43M","-1.48%"
"27-10-2020","40,522.10","40,199.08","40,555.60","39,978.39","13.90M","0.94%"
"26-10-2020","40,145.50","40,649.76","40,724.40","39,948.29","10.09M","-1.33%"
"23-10-2020","40,685.50","40,728.39","40,811.12","40,590.90","12.40M","0.31%"
"22-10-2020","40,558.49","40,531.31","40,721.57","40,309.05","13.93M","-0.37%"
"21-10-2020","40,707.31","40,767.14","40,976.02","40,150.48","16.74M","0.40%"
"20-10-2020","40,544.37","40,420.29","40,732.01","40,305.59","12.09M","0.28%"
"19-10-2020","40,431.60","40,318.57","40,519.48","40,211.22","12.25M","1.12%"
"16-10-2020","39,982.98","39,936.61","40,125.71","39,699.42","10.96M","0.64%"
"15-10-2020","39,728.41","41,048.05","41,048.05","39,667.47","30.39M","-2.61%"
"14-10-2020","40,794.74","40,623.19","40,880.25","40,279.55","15.02M","0.42%"
"13-10-2020","40,625.51","40,592.54","40,786.82","40,461.97","11.05M","0.08%"
"12-10-2020","40,593.80","40,716.95","40,905.49","40,387.40","17.59M","0.21%"
"09-10-2020","40,509.49","40,226.25","40,585.36","40,066.54","16.60M","0.81%"
"08-10-2020","40,182.67","40,204.32","40,468.88","40,062.23","14.38M","0.76%"
"07-10-2020","39,878.95","39,633.19","39,968.04","39,450.82","15.02M","0.77%"
"06-10-2020","39,574.57","39,336.34","39,623.76","39,191.10","11.27M","1.54%"
"05-10-2020","38,973.70","38,956.78","39,263.85","38,819.89","15.48M","0.71%"
"01-10-2020","38,697.05","38,410.20","38,738.89","38,410.20","12.91M","1.65%"
"30-09-2020","38,067.93","38,068.89","38,236.34","37,828.11","18.43M","0.25%"
"29-09-2020","37,973.22","38,176.86","38,235.94","37,831.35","10.63M","-0.02%"
"28-09-2020","37,981.63","37,756.25","38,035.87","37,544.05","13.59M","1.59%"
"25-09-2020","37,388.66","36,991.89","37,471.17","36,730.52","13.48M","2.28%"
"24-09-2020","36,553.60","37,282.18","37,304.26","36,495.98","13.87M","-2.96%"
"23-09-2020","37,668.42","38,124.94","38,140.07","37,313.09","15.03M","-0.17%"
"22-09-2020","37,734.08","38,200.71","38,209.97","37,531.14","15.32M","-0.79%"
"21-09-2020","38,034.14","38,812.69","38,990.76","37,938.53","15.82M","-2.09%"
"18-09-2020","38,845.82","39,200.42","39,200.42","38,635.73","14.25M","-0.34%"
"17-09-2020","38,979.85","39,120.64","39,234.81","38,926.34","11.36M","-0.82%"
"16-09-2020","39,302.85","39,161.01","39,359.51","39,037.96","11.72M","0.66%"
"15-09-2020","39,044.35","38,904.67","39,102.25","38,753.68","11.62M","0.74%"
"14-09-2020","38,756.63","39,073.51","39,230.16","38,573.17","14.71M","-0.25%"
"11-09-2020","38,854.55","38,865.17","38,978.52","38,711.80","11.38M","0.04%"
"10-09-2020","38,840.32","38,516.88","38,878.25","38,367.07","16.46M","1.69%"
"09-09-2020","38,193.92","37,988.56","38,252.67","37,935.26","13.98M","-0.45%"
"08-09-2020","38,365.35","38,498.07","38,746.48","38,275.45","11.95M","-0.14%"
"07-09-2020","38,417.23","38,284.78","38,519.92","38,060.74","12.51M","0.16%"
"04-09-2020","38,357.18","38,325.00","38,729.66","38,249.77","15.42M","-1.63%"
"03-09-2020","38,990.94","39,165.80","39,236.36","38,943.43","9.19M","-0.24%"
"02-09-2020","39,086.03","38,892.64","39,141.84","38,736.22","17.13M","0.48%"
"01-09-2020","38,900.80","38,754.00","39,226.82","38,542.11","22.03M","0.71%"
"31-08-2020","38,628.29","39,888.15","40,010.17","38,395.89","27.94M","-2.13%"
"28-08-2020","39,467.31","39,264.48","39,579.58","39,235.03","22.48M","0.90%"
"27-08-2020","39,113.47","39,293.53","39,326.98","39,046.94","14.54M","0.10%"
"26-08-2020","39,073.92","38,930.18","39,111.55","38,765.09","16.41M","0.59%"
"25-08-2020","38,843.88","38,948.46","39,008.89","38,679.67","15.73M","0.12%"
"24-08-2020","38,799.08","38,566.96","38,894.94","38,545.76","28.05M","0.95%"
"21-08-2020","38,434.72","38,471.93","38,579.83","38,411.37","16.76M","0.56%"
"20-08-2020","38,220.39","38,283.90","38,402.45","38,155.78","15.82M","-1.02%"
"19-08-2020","38,614.79","38,727.89","38,788.51","38,550.65","12.76M","0.22%"
"18-08-2020","38,528.32","38,084.70","38,571.23","38,062.01","13.61M","1.26%"
"17-08-2020","38,050.78","38,062.07","38,119.38","37,734.14","21.52M","0.46%"
"14-08-2020","37,877.34","38,432.94","38,540.57","37,654.92","18.63M","-1.13%"
"13-08-2020","38,310.49","38,456.64","38,516.85","38,215.05","15.39M","-0.15%"
"12-08-2020","38,369.63","38,321.13","38,414.37","38,125.81","25.32M","-0.10%"
"11-08-2020","38,407.01","38,371.34","38,556.27","38,313.06","18.73M","0.59%"
"10-08-2020","38,182.08","38,168.42","38,430.69","38,073.29","17.23M","0.37%"
"07-08-2020","38,040.57","37,951.07","38,109.68","37,787.38","15.26M","0.04%"
"06-08-2020","38,025.45","37,946.80","38,221.40","37,755.10","16.63M","0.96%"
"05-08-2020","37,663.33","37,892.36","38,139.96","37,550.60","19.75M","-0.07%"
"04-08-2020","37,687.91","37,092.86","37,745.60","36,987.73","15.05M","2.03%"
"03-08-2020","36,939.60","37,595.73","37,596.02","36,911.23","14.33M","-1.77%"
"31-07-2020","37,606.89","37,847.88","37,897.78","37,431.68","20.24M","-0.34%"
"30-07-2020","37,736.07","38,262.83","38,413.81","37,678.42","14.78M","-0.88%"
"29-07-2020","38,071.13","38,427.15","38,617.03","37,884.41","17.55M","-1.10%"
"28-07-2020","38,492.95","38,052.18","38,554.72","37,998.13","15.46M","1.47%"
"27-07-2020","37,934.73","38,275.34","38,275.34","37,769.44","18.65M","-0.51%"
"24-07-2020","38,128.90","37,949.59","38,235.73","37,748.41","19.89M","-0.03%"
"23-07-2020","38,140.47","37,814.92","38,225.03","37,738.59","19.65M","0.71%"
"22-07-2020","37,871.52","38,178.07","38,199.27","37,601.62","22.28M","-0.16%"
"21-07-2020","37,930.33","37,823.61","37,990.55","37,742.05","22.68M","1.37%"
"20-07-2020","37,418.99","37,409.03","37,478.87","37,185.78","20.07M","1.08%"
"17-07-2020","37,020.14","36,547.75","37,125.98","36,512.92","16.47M","1.50%"
"16-07-2020","36,471.68","36,401.20","36,524.62","36,038.41","18.52M","1.16%"
"15-07-2020","36,051.81","36,314.76","36,810.25","35,894.96","23.52M","0.05%"
"14-07-2020","36,033.06","36,517.28","36,538.10","35,877.42","14.10M","-1.80%"
"13-07-2020","36,693.69","36,880.66","37,024.20","36,533.96","16.50M","0.27%"
"10-07-2020","36,594.33","36,555.13","36,748.89","36,401.11","20.94M","-0.39%"
"09-07-2020","36,737.69","36,450.69","36,806.30","36,422.30","17.40M","1.12%"
"08-07-2020","36,329.01","36,738.38","36,828.43","36,234.17","24.84M","-0.94%"
"07-07-2020","36,674.52","36,660.35","36,723.27","36,271.09","20.65M","0.51%"
"06-07-2020","36,487.28","36,313.46","36,661.66","36,254.02","22.28M","1.29%"
"03-07-2020","36,021.42","36,025.38","36,110.21","35,872.38","16.45M","0.50%"
"02-07-2020","35,843.70","35,604.00","36,014.92","35,595.36","20.63M","1.21%"
"01-07-2020","35,414.45","35,009.59","35,467.23","34,927.20","19.38M","1.43%"
"30-06-2020","34,915.80","35,168.30","35,233.91","34,812.80","18.54M","-0.13%"
"29-06-2020","34,961.52","34,926.95","35,032.36","34,662.06","18.33M","-0.60%"
"26-06-2020","35,171.27","35,144.78","35,254.88","34,910.34","24.78M","0.94%"
"25-06-2020","34,842.10","34,525.39","35,081.61","34,499.78","24.56M","-0.08%"
"24-06-2020","34,868.98","35,679.74","35,706.55","34,794.93","26.64M","-1.58%"
"23-06-2020","35,430.43","35,015.73","35,482.16","34,843.69","25.21M","1.49%"
"22-06-2020","34,911.32","34,892.03","35,213.52","34,794.40","25.11M","0.52%"
"19-06-2020","34,731.73","34,335.38","34,848.37","34,136.39","27.85M","1.53%"
"18-06-2020","34,208.05","33,371.52","34,276.01","33,371.52","21.22M","2.09%"
"17-06-2020","33,507.92","33,438.31","33,933.66","33,332.96","20.22M","-0.29%"
"16-06-2020","33,605.22","33,853.72","34,022.01","32,953.30","27.42M","1.13%"
"15-06-2020","33,228.80","33,670.55","33,670.55","32,923.74","18.37M","-1.63%"
"12-06-2020","33,780.89","32,436.69","33,856.27","32,348.10","23.04M","0.72%"
"11-06-2020","33,538.37","34,214.69","34,219.39","33,480.42","20.95M","-2.07%"
"10-06-2020","34,247.05","34,029.14","34,350.17","33,949.46","15.47M","0.86%"
"09-06-2020","33,956.69","34,520.79","34,811.29","33,881.19","19.24M","-1.20%"
"08-06-2020","34,370.58","34,841.17","34,927.80","34,211.83","25.68M","0.24%"
"05-06-2020","34,287.24","34,198.55","34,405.43","33,958.02","24.63M","0.90%"
"04-06-2020","33,980.70","34,072.50","34,310.14","33,711.24","17.90M","-0.38%"
"03-06-2020","34,109.54","34,185.41","34,488.69","34,027.50","18.38M","0.84%"
"02-06-2020","33,825.53","33,450.19","33,866.63","33,301.29","75.58M","1.57%"
"01-06-2020","33,303.52","32,906.05","33,673.83","32,876.55","22.87M","2.71%"
"29-05-2020","32,424.10","32,041.29","32,480.52","31,823.80","37.05M","0.69%"
"28-05-2020","32,200.59","31,827.80","32,267.23","31,641.77","27.45M","1.88%"
"27-05-2020","31,605.22","30,793.11","31,660.60","30,525.68","20.53M","3.25%"
"26-05-2020","30,609.30","30,864.27","31,086.70","30,512.14","188.28M","-0.21%"
"22-05-2020","30,672.59","30,822.78","31,107.91","30,474.88","20.61M","-0.84%"
"21-05-2020","30,932.90","30,904.29","31,188.79","30,765.32","15.51M","0.37%"
"20-05-2020","30,818.61","30,159.59","30,878.31","30,157.75","16.14M","2.06%"
"19-05-2020","30,196.17","30,450.74","30,739.96","30,116.82","18.75M","0.56%"
"18-05-2020","30,028.98","31,248.26","31,248.26","29,968.45","19.47M","-3.44%"
"15-05-2020","31,097.73","31,296.28","31,296.28","30,770.48","13.00M","-0.08%"
"14-05-2020","31,122.89","31,466.33","31,630.94","31,052.65","15.20M","-2.77%"
"13-05-2020","32,008.61","32,841.87","32,845.48","31,901.92","18.42M","2.03%"
"12-05-2020","31,371.12","31,342.93","31,536.89","30,844.66","23.13M","-0.60%"
"11-05-2020","31,561.22","32,030.34","32,301.58","31,500.87","18.07M","-0.26%"
"08-05-2020","31,642.70","32,083.32","32,088.51","31,598.00","15.87M","0.63%"
"07-05-2020","31,443.38","31,677.69","31,705.25","31,362.87","19.87M","-0.76%"
"06-05-2020","31,685.75","31,577.63","31,970.84","31,158.75","19.21M","0.74%"
"05-05-2020","31,453.51","32,182.90","32,264.00","31,403.57","19.17M","-0.83%"
"04-05-2020","31,715.35","32,748.14","32,748.14","31,632.02","18.34M","-5.94%"
